"PRODUCTO","TIENDA","DIA","UNIDADES","PRECIO"
"Manzana a granel",24512,"2019-04-09",539,2.99
"Manzana a granel",24512,"2020-03-04",843,2.99
"Manzana a granel",24512,"2018-06-08",621,2.99
"Manzana a granel",24512,"2019-08-12",495,2.99
"Manzana a granel",24512,"2019-02-12",580,2.99
"Manzana a granel",24512,"2020-03-02",832,2.99
"Manzana a granel",24512,"2018-12-12",625,2.99
"Manzana a granel",24512,"2018-11-26",767,2.99
"Manzana a granel",24512,"2019-04-11",531,2.99
"Manzana a granel",24512,"2017-08-10",592,2.99
"Manzana a granel",24512,"2020-08-27",377.118,2.99
"Manzana a granel",24512,"2018-07-10",NA,2.99
"Manzana a granel",24512,"2020-01-30",679,2.99
"Manzana a granel",24512,"2018-01-18",644,2.99
"Manzana a granel",24512,"2019-10-23",864,2.99
"Manzana a granel",24512,"2018-11-30",687,2.99
"Manzana a granel",24512,"2017-11-25",857,2.99
"Manzana a granel",24512,"2018-10-11",913,2.99
"Manzana a granel",24512,"2019-09-28",952,2.99
"Manzana a granel",24512,"2018-01-08",961,2.99
"Manzana a granel",24512,"2018-10-23",684,2.99
"Manzana a granel",24512,"2019-05-07",508,2.99
"Manzana a granel",24512,"2017-12-12",753,2.99
"Manzana a granel",24512,"2020-05-21",416,2.99
"Manzana a granel",24512,"2020-07-22",392,2.99
"Manzana a granel",24512,"2018-03-19",800.023,2.99
"Manzana a granel",24512,"2020-05-08",713,2.99
"Manzana a granel",24512,"2018-01-24",877,2.99
"Manzana a granel",24512,"2020-02-18",834,2.99
"Manzana a granel",24512,"2018-03-20",710,2.99
"Manzana a granel",24512,"2019-03-13",541.38,2.99
"Manzana a granel",24512,"2019-04-10",560,2.99
"Manzana a granel",24512,"2017-12-09",1021,2.99
"Manzana a granel",24512,"2017-10-04",742,2.99
"Manzana a granel",24512,"2018-06-06",620,2.99
"Manzana a granel",24512,"2019-07-10",511,2.99
"Manzana a granel",24512,"2018-04-13",640,2.99
"Manzana a granel",24512,"2020-08-14",559.894,2.99
"Manzana a granel",24512,"2018-09-26",626,2.99
